,last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest,days_exposition,price_for_m2,fromcenter_category_в пределах города,fromcenter_category_область,fromcenter_category_самый центр,fromcenter_category_центр
0,13000000.0,108.0,3,2.7,16.0,51.0,8,False,False,False,25.0,0,18863.0,16028.0,1.0,482.0,2.0,755.0,0,120370,True,False,False,False
1,3350000.0,40.4,1,2.68,11.0,18.6,1,False,False,False,11.0,2,12817.0,18603.0,0.0,5000.0,0.0,5000.0,81,82920,False,True,False,False
2,5196000.0,56.0,2,2.75,5.0,34.3,4,False,False,False,8.3,0,21741.0,13933.0,1.0,90.0,2.0,574.0,558,92785,True,False,False,False
4,10000000.0,100.0,2,3.03,14.0,32.0,13,False,False,False,41.0,0,31856.0,8098.0,2.0,112.0,1.0,48.0,121,100000,True,False,False,False
6,3700000.0,37.3,1,2.68,26.0,10.6,6,False,False,False,14.4,1,52996.0,19143.0,0.0,5000.0,0.0,5000.0,155,99195,False,True,False,False
9,5400000.0,61.0,3,2.5,9.0,43.6,7,False,False,False,6.5,2,50898.0,15008.0,0.0,5000.0,0.0,5000.0,289,88524,True,False,False,False
10,5050000.0,39.6,1,2.67,12.0,20.3,3,False,False,False,8.5,0,38357.0,13878.0,1.0,310.0,2.0,553.0,137,127525,True,False,False,False
11,3300000.0,44.0,2,2.68,5.0,31.0,4,False,False,False,6.0,1,48252.0,51677.0,0.0,5000.0,0.0,5000.0,7,75000,False,True,False,False
13,3550000.0,42.8,2,2.56,5.0,27.0,5,False,False,False,5.2,1,37868.0,33058.0,1.0,294.0,3.0,298.0,366,82943,False,True,False,False
14,4400000.0,36.0,1,2.68,6.0,17.0,1,False,False,False,8.0,0,20782.0,30759.0,0.0,5000.0,1.0,96.0,203,122222,False,True,False,False
15,4650000.0,39.0,1,2.75,14.0,20.5,5,False,False,False,7.6,1,12900.0,14259.0,1.0,590.0,1.0,296.0,19,119230,True,False,False,False
16,6700000.0,82.0,3,3.05,5.0,55.6,1,False,False,False,9.0,0,22108.0,10698.0,3.0,420.0,0.0,5000.0,397,81707,True,False,False,False
17,4180000.0,36.0,1,2.75,17.0,16.5,7,False,False,False,11.0,1,33564.0,14616.0,0.0,5000.0,1.0,859.0,571,116111,True,False,False,False
18,3250000.0,31.0,1,2.5,5.0,19.4,2,False,False,False,5.6,1,44060.0,10842.0,1.0,759.0,0.0,5000.0,168,104838,True,False,False,False
19,14200000.0,121.0,3,2.75,16.0,76.0,8,False,False,False,12.0,0,38900.0,12843.0,0.0,5000.0,0.0,5000.0,97,117355,True,False,False,False
20,6120000.0,80.0,3,2.7,27.0,48.0,11,False,False,False,12.0,2,53134.0,19311.0,0.0,5000.0,0.0,5000.0,74,76500,False,True,False,False
21,3200000.0,31.6,1,2.75,5.0,16.9,2,False,False,False,5.7,1,36064.0,9722.0,1.0,248.0,0.0,5000.0,310,101265,True,False,False,False
23,2950000.0,32.0,1,2.6,9.0,17.7,9,False,False,False,6.1,0,15414.0,14211.0,2.0,517.0,1.0,190.0,615,92187,True,False,False,False
24,6500000.0,97.2,2,3.24,3.0,46.5,1,False,False,False,19.6,0,20052.0,2336.0,3.0,411.0,3.0,124.0,265,66872,False,False,True,False
25,6800000.0,76.0,2,2.75,23.0,39.0,18,False,False,False,15.0,2,34967.0,14640.0,0.0,5000.0,1.0,564.0,300,89473,True,False,False,False
26,4050000.0,60.0,4,2.75,5.0,43.0,4,False,False,False,7.0,0,11580.0,10510.0,0.0,5000.0,1.0,95.0,265,67500,True,False,False,False
